attributes.biome-name,attributes.lineage,attributes.samples-count,id,links.self,relationships.children.links.related,relationships.genomes.links.related,relationships.samples.links.related,relationships.studies.links.related,type
Digestive system,root:Host-associated:Mollusca:Digestive system,819,root:Host-associated:Mollusca:Digestive system,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system/studies,biomes
Ceca,root:Host-associated:Mollusca:Digestive system:Ceca,0,root:Host-associated:Mollusca:Digestive system:Ceca,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Ceca,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Ceca/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Ceca/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Ceca/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Ceca/studies,biomes
Uncharacterized,root:Host-associated:Mollusca:Digestive system:Ceca:Uncharacterized,0,root:Host-associated:Mollusca:Digestive system:Ceca:Uncharacterized,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Ceca:Uncharacterized,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Ceca:Uncharacterized/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Ceca:Uncharacterized/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Ceca:Uncharacterized/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Ceca:Uncharacterized/studies,biomes
Glands,root:Host-associated:Mollusca:Digestive system:Glands,1,root:Host-associated:Mollusca:Digestive system:Glands,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Glands,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Glands/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Glands/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Glands/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Digestive%20system:Glands/studies,biomes
Respiratory system,root:Host-associated:Mollusca:Respiratory system,6,root:Host-associated:Mollusca:Respiratory system,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system/studies,biomes
Gills,root:Host-associated:Mollusca:Respiratory system:Gills,0,root:Host-associated:Mollusca:Respiratory system:Gills,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills/studies,biomes
Extracellular,root:Host-associated:Mollusca:Respiratory system:Gills:Extracellular,0,root:Host-associated:Mollusca:Respiratory system:Gills:Extracellular,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills:Extracellular,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills:Extracellular/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills:Extracellular/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills:Extracellular/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills:Extracellular/studies,biomes
Intracellular,root:Host-associated:Mollusca:Respiratory system:Gills:Intracellular,0,root:Host-associated:Mollusca:Respiratory system:Gills:Intracellular,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills:Intracellular,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills:Intracellular/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills:Intracellular/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills:Intracellular/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Respiratory%20system:Gills:Intracellular/studies,biomes
Shell,root:Host-associated:Mollusca:Shell,0,root:Host-associated:Mollusca:Shell,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Shell,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Shell/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Shell/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Shell/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca:Shell/studies,biomes
Plants,root:Host-associated:Plants,9150,root:Host-associated:Plants,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants/studies,biomes
Phylloplane,root:Host-associated:Plants:Phylloplane,1894,root:Host-associated:Plants:Phylloplane,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane/studies,biomes
Endophytes,root:Host-associated:Plants:Phylloplane:Endophytes,196,root:Host-associated:Plants:Phylloplane:Endophytes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane:Endophytes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane:Endophytes/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane:Endophytes/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane:Endophytes/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane:Endophytes/studies,biomes
Epiphytes,root:Host-associated:Plants:Phylloplane:Epiphytes,2,root:Host-associated:Plants:Phylloplane:Epiphytes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane:Epiphytes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane:Epiphytes/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane:Epiphytes/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane:Epiphytes/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Phylloplane:Epiphytes/studies,biomes
Rhizome,root:Host-associated:Plants:Rhizome,370,root:Host-associated:Plants:Rhizome,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizome,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizome/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizome/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizome/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizome/studies,biomes
Epiphytes,root:Host-associated:Plants:Rhizome:Epiphytes,0,root:Host-associated:Plants:Rhizome:Epiphytes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizome:Epiphytes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizome:Epiphytes/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizome:Epiphytes/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizome:Epiphytes/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizome:Epiphytes/studies,biomes
